Metadata_JCP2022,Metadata_broad_sample,Metadata_Name,Metadata_Vector,Metadata_Transcript,l,Metadata_NCBI_Gene_ID,Metadata_Taxon_ID,Metadata_Gene_Description,Metadata_Prot_Match,Metadata_Insert_Length,Metadata_pert_type
JCP2022_903811,ccsbBroad304_04069,ORF018330.1_TRC304.1,pLX_304,NM_024332.3,BRCC3,79184,9606,BRCA1/BRCA2-containing complex subunit 3,100,948,trt
JCP2022_903812,ccsbBroad304_04070,ORF015611.1_TRC304.1,pLX_304,NM_024334.2,TMEM43,79188,9606,transmembrane protein 43,100,1200,trt
JCP2022_903813,ccsbBroad304_04071,ORF005310.1_TRC304.1,pLX_304,NM_001005479.2,OR5H6,79295,9606,olfactory receptor family 5 subfamily H member 6 (gene/pseudogene),95,975,trt
JCP2022_903814,ccsbBroad304_04073,ORF006709.1_TRC304.1,pLX_304,NM_138722.1,BCL2L14,79370,9606,BCL2 like 14,100,981,trt
JCP2022_903815,ccsbBroad304_04074,ORF008418.1_TRC304.1,pLX_304,NM_001193655.1,CYBC1,79415,9606,cytochrome b-245 chaperone 1,100,561,trt
JCP2022_903816,ccsbBroad304_04075,ORF010737.1_TRC304.1,pLX_304,NM_024516.4,PAGR1,79447,9606,PAXIP1 associated glutamate rich protein 1,100,762,trt
JCP2022_903817,ccsbBroad304_04076,ORF017298.1_TRC304.1,pLX_304,NM_030908.2,OR2A4,79541,9606,olfactory receptor family 2 subfamily A member 4,100,930,trt
JCP2022_903818,ccsbBroad304_04077,ORF015978.1_TRC304.1,pLX_304,NM_024520.3,MAIP1,79568,9606,matrix AAA peptidase interacting protein 1,100,873,trt
JCP2022_903819,ccsbBroad304_04078,ORF009899.1_TRC304.1,pLX_304,NM_024523.6,GCC1,79571,9606,GRIP and coiled-coil domain containing 1,100,2325,trt
JCP2022_903820,ccsbBroad304_04079,ORF006359.1_TRC304.1,pLX_304,NM_024527.5,ABHD8,79575,9606,abhydrolase domain containing 8,100,1317,trt
JCP2022_903821,ccsbBroad304_04080,ORF008604.1_TRC304.1,pLX_304,NM_024528.4,NKAP,79576,9606,NFKB activating protein,100,1245,trt
JCP2022_903822,ccsbBroad304_04081,ORF002542.1_TRC304.1,pLX_304,NM_024529.4,CDC73,79577,9606,cell division cycle 73,100,1593,trt
JCP2022_903823,ccsbBroad304_04082,ORF010546.1_TRC304.1,pLX_304,NM_001363121.2,SLC52A2,79581,9606,solute carrier family 52 member 2,100,1335,trt
JCP2022_903824,ccsbBroad304_04083,ORF006971.1_TRC304.1,pLX_304,NM_001077418.3,TMEM231,79583,9606,transmembrane protein 231,100,948,trt
JCP2022_903825,ccsbBroad304_04084,ORF009777.1_TRC304.1,pLX_304,NM_024535.5,CORO7,79585,9606,coronin 7,100,2775,trt
JCP2022_903826,ccsbBroad304_04085,ORF009085.1_TRC304.1,pLX_304,NM_194463.2,RNF128,79589,9606,ring finger protein 128,100,1284,trt
JCP2022_903827,ccsbBroad304_04086,ORF003324.1_TRC304.1,pLX_304,NM_001082537.3,TCTN1,79600,9606,tectonic family member 1,100,1761,trt
JCP2022_903828,ccsbBroad304_04087,ORF008484.1_TRC304.1,pLX_304,NM_024551.3,ADIPOR2,79602,9606,adiponectin receptor 2,100,1158,trt
JCP2022_903829,ccsbBroad304_04088,ORF009854.1_TRC304.1,pLX_304,NM_024556.4,FAM118B,79607,9606,family with sequence similarity 118 member B,100,1053,trt
JCP2022_903830,ccsbBroad304_04089,ORF016566.1_TRC304.1,pLX_304,NM_024560.4,ACSS3,79611,9606,acyl-CoA synthetase short chain family member 3,100,2058,trt
JCP2022_903831,ccsbBroad304_04090,ORF013004.1_TRC304.1,pLX_304,BC022250.1,NPR3,4883,9606,NA,,363,trt
JCP2022_903832,ccsbBroad304_04091,ORF013305.1_TRC304.1,pLX_304,NM_024573.3,ARMT1,79624,9606,acidic residue methyltransferase 1,100,1323,trt
JCP2022_903833,ccsbBroad304_04092,ORF008149.1_TRC304.1,pLX_304,NM_024575.5,TNFAIP8L2,79626,9606,TNF alpha induced protein 8 like 2,100,552,trt
JCP2022_903834,ccsbBroad304_04093,ORF003706.1_TRC304.1,pLX_304,NM_024584.4,CCDC121,79635,9606,coiled-coil domain containing 121,100,834,trt
JCP2022_903835,ccsbBroad304_04094,ORF017432.1_TRC304.1,pLX_304,NM_024587.4,TMEM53,79639,9606,transmembrane protein 53,100,831,trt
JCP2022_903836,ccsbBroad304_04095,ORF005164.1_TRC304.1,pLX_304,NM_024591.5,CHMP6,79643,9606,charged multivesicular body protein 6,100,603,trt
JCP2022_903837,ccsbBroad304_04096,ORF004864.1_TRC304.1,pLX_304,NM_024592.5,SRD5A3,79644,9606,steroid 5 alpha-reductase 3,100,954,trt
JCP2022_903838,ccsbBroad304_04097,ORF018407.1_TRC304.1,pLX_304,NM_024593.4,EFCAB1,79645,9606,EF-hand calcium binding domain 1,100,633,trt
JCP2022_903839,ccsbBroad304_04098,ORF003730.1_TRC304.1,pLX_304,NM_024594.4,PANK3,79646,9606,pantothenate kinase 3,100,1110,trt
JCP2022_903840,ccsbBroad304_04099,ORF003070.1_TRC304.1,pLX_304,NM_024598.4,USB1,79650,9606,U6 snRNA biogenesis phosphodiesterase 1,100,795,trt
JCP2022_903841,ccsbBroad304_04100,ORF016158.1_TRC304.1,pLX_304,NM_024600.6,TMEM204,79652,9606,transmembrane protein 204,100,678,trt
JCP2022_903842,ccsbBroad304_04101,ORF008303.1_TRC304.1,pLX_304,NM_001146075.1,RPAP3,79657,9606,RNA polymerase II associated protein 3,100,1893,trt
JCP2022_903843,ccsbBroad304_04102,ORF014110.1_TRC304.1,pLX_304,NM_024610.6,HSPBAP1,79663,9606,HSPB1 associated protein 1,100,1464,trt
JCP2022_903844,ccsbBroad304_04103,ORF009748.1_TRC304.1,pLX_304,NM_024612.5,DHX40,79665,9606,DEAH-box helicase 40,100,2337,trt
JCP2022_903845,ccsbBroad304_04104,ORF006294.1_TRC304.1,pLX_304,NM_024613.4,PLEKHF2,79666,9606,pleckstrin homology and FYVE domain containing 2,100,747,trt
JCP2022_903846,ccsbBroad304_04105,ORF013998.1_TRC304.1,pLX_304,NM_024619.4,FN3KRP,79672,9606,fructosamine 3 kinase related protein,100,927,trt
JCP2022_903847,ccsbBroad304_04106,ORF011439.1_TRC304.1,pLX_304,NM_024621.2,VEPH1,79674,9606,ventricular zone expressed PH domain containing 1,100,2499,trt
JCP2022_903848,ccsbBroad304_04108,ORF016557.1_TRC304.1,pLX_304,NM_001205316.2,STEAP4,79689,9606,STEAP4 metalloreductase,100,849,trt
JCP2022_903849,ccsbBroad304_04109,ORF005555.1_TRC304.1,pLX_304,NM_001242798.1,ZNF322,79692,9606,zinc finger protein 322,100,1206,trt
JCP2022_903850,ccsbBroad304_04111,ORF001239.1_TRC304.1,pLX_304,NM_024664.4,PPCS,79717,9606,phosphopantothenoylcysteine synthetase,100,933,trt
JCP2022_903851,ccsbBroad304_04112,ORF013114.1_TRC304.1,pLX_304,NM_024666.5,AAGAB,79719,9606,alpha and gamma adaptin binding protein,100,945,trt
JCP2022_903852,ccsbBroad304_04113,ORF016060.1_TRC304.1,pLX_304,NM_024667.3,VPS37B,79720,9606,VPS37B subunit of ESCRT-I,100,855,trt
JCP2022_903853,ccsbBroad304_04114,ORF007237.1_TRC304.1,pLX_304,NM_024670.3,SUV39H2,79723,9606,suppressor of variegation 3-9 homolog 2,100,1050,trt
JCP2022_903854,ccsbBroad304_04115,ORF014077.1_TRC304.1,pLX_304,NM_001193426.1,SUV39H2,79723,9606,suppressor of variegation 3-9 homolog 2,100,690,trt
JCP2022_903855,ccsbBroad304_04116,ORF002403.1_TRC304.1,pLX_304,NM_024674.6,LIN28A,79727,9606,lin-28 homolog A,100,627,trt
JCP2022_903856,ccsbBroad304_04117,ORF000678.1_TRC304.1,pLX_304,NM_001191060.1,SLC25A22,79751,9606,solute carrier family 25 member 22,100,969,trt
JCP2022_903857,ccsbBroad304_04118,ORF009347.1_TRC304.1,pLX_304,NM_024700.4,SNIP1,79753,9606,Smad nuclear interacting protein 1,100,1188,trt
JCP2022_903858,ccsbBroad304_04119,ORF001272.1_TRC304.1,pLX_304,NM_001031719.3,DHRS12,79758,9606,dehydrogenase/reductase 12,100,813,trt
JCP2022_903859,ccsbBroad304_04120,ORF007889.1_TRC304.1,pLX_304,NM_001319054.1,GEMIN7,79760,9606,gem nuclear organelle associated protein 7,100,393,trt
JCP2022_903860,ccsbBroad304_04121,ORF006457.1_TRC304.1,pLX_304,NM_024709.5,C1orf115,79762,9606,chromosome 1 open reading frame 115,100,426,trt
JCP2022_903861,ccsbBroad304_04122,ORF011784.1_TRC304.1,pLX_304,NM_001136201.2,ISOC2,79763,9606,isochorismatase domain containing 2,100,615,trt
JCP2022_903862,ccsbBroad304_04124,ORF002237.1_TRC304.1,pLX_304,NM_024726.5,IQCA1,79781,9606,IQ motif containing with AAA domain 1,100,2466,trt
JCP2022_903863,ccsbBroad304_04125,ORF015476.1_TRC304.1,pLX_304,NM_024727.4,LRRC31,79782,9606,leucine rich repeat containing 31,100,1656,trt
JCP2022_903864,ccsbBroad304_04126,ORF017534.1_TRC304.1,pLX_304,NM_024730.3,RERGL,79785,9606,RERG like,100,615,trt
JCP2022_903865,ccsbBroad304_04127,ORF008103.1_TRC304.1,pLX_304,NM_024738.4,C12orf49,79794,9606,chromosome 12 open reading frame 49,100,615,trt
JCP2022_903866,ccsbBroad304_04128,ORF013752.1_TRC304.1,pLX_304,NM_024740.2,ALG9,79796,9606,"ALG9 alpha-1,2-mannosyltransferase",100,1854,trt
JCP2022_903867,ccsbBroad304_04129,ORF004267.1_TRC304.1,pLX_304,NM_024747.6,HPS6,79803,9606,HPS6 biogenesis of lysosomal organelles complex 2 subunit 3,100,2325,trt
JCP2022_903868,ccsbBroad304_04130,ORF014375.1_TRC304.1,pLX_304,NM_024749.5,VASH2,79805,9606,vasohibin 2,100,933,trt
JCP2022_903869,ccsbBroad304_04131,ORF002024.1_TRC304.1,pLX_304,NM_024760.3,TLE6,79816,9606,"TLE family member 6, subcortical maternal complex member",100,1347,trt
JCP2022_903870,ccsbBroad304_04132,ORF008040.1_TRC304.1,pLX_304,NM_024764.4,CATSPERB,79820,9606,cation channel sperm associated auxiliary subunit beta,100,3348,trt
JCP2022_903871,ccsbBroad304_04133,ORF000478.1_TRC304.1,pLX_304,NM_024769.5,CLMP,79827,9606,CXADR like membrane protein,100,1119,trt
JCP2022_903872,ccsbBroad304_04134,ORF007011.1_TRC304.1,pLX_304,NM_024771.4,NAA40,79829,9606,"N(alpha)-acetyltransferase 40, NatD catalytic subunit",100,711,trt
JCP2022_903873,ccsbBroad304_04135,ORF010552.1_TRC304.1,pLX_304,NM_024773.3,KDM8,79831,9606,lysine demethylase 8,100,1248,trt
JCP2022_903874,ccsbBroad304_04136,ORF016976.1_TRC304.1,pLX_304,NM_024785.2,FAM124B,79843,9606,family with sequence similarity 124 member B,100,816,trt
JCP2022_903875,ccsbBroad304_04137,ORF003828.1_TRC304.1,pLX_304,NM_024786.2,ZDHHC11,79844,9606,zinc finger DHHC-type containing 11,100,1236,trt
JCP2022_903876,ccsbBroad304_04138,ORF009611.1_TRC304.1,pLX_304,NM_001142886.1,EPHX3,79852,9606,epoxide hydrolase 3,100,1080,trt
JCP2022_903877,ccsbBroad304_04139,ORF006087.1_TRC304.1,pLX_304,NM_001171864.2,TUBAL3,79861,9606,tubulin alpha like 3,100,1218,trt
JCP2022_903878,ccsbBroad304_04140,ORF013627.1_TRC304.1,pLX_304,NM_024809.5,TCTN2,79867,9606,tectonic family member 2,100,2091,trt
JCP2022_903879,ccsbBroad304_04141,ORF007568.1_TRC304.1,pLX_304,NM_024815.4,NUDT18,79873,9606,nudix hydrolase 18,100,969,trt
JCP2022_903880,ccsbBroad304_04142,ORF016930.1_TRC304.1,pLX_304,NM_024818.4,UBA5,79876,9606,ubiquitin like modifier activating enzyme 5,100,1212,trt
JCP2022_903881,ccsbBroad304_04143,ORF009863.1_TRC304.1,pLX_304,NM_001288654.2,DCAKD,79877,9606,dephospho-CoA kinase domain containing,100,693,trt
JCP2022_903882,ccsbBroad304_04144,ORF008431.1_TRC304.1,pLX_304,NM_024821.4,CCDC134,79879,9606,coiled-coil domain containing 134,100,687,trt
JCP2022_903883,ccsbBroad304_04145,ORF014233.1_TRC304.1,pLX_304,NM_207662.4,ZC3H14,79882,9606,zinc finger CCCH-type containing 14,100,918,trt
JCP2022_903884,ccsbBroad304_04146,ORF014737.1_TRC304.1,pLX_304,NM_024827.4,HDAC11,79885,9606,histone deacetylase 11,100,1041,trt
JCP2022_903885,ccsbBroad304_04147,ORF017413.1_TRC304.1,pLX_304,NM_024854.5,PYROXD1,79912,9606,pyridine nucleotide-disulphide oxidoreductase domain 1,100,1500,trt
JCP2022_903886,ccsbBroad304_04148,ORF017003.1_TRC304.1,pLX_304,NM_024864.5,MRM1,79922,9606,mitochondrial rRNA methyltransferase 1,100,1059,trt
JCP2022_903887,ccsbBroad304_04150,ORF017603.1_TRC304.1,pLX_304,NM_024894.4,NOL10,79954,9606,nucleolar protein 10,100,2064,trt
JCP2022_903888,ccsbBroad304_04151,ORF008557.1_TRC304.1,pLX_304,NM_001272104.2,PAQR6,79957,9606,progestin and adipoQ receptor family member 6,100,1032,trt
JCP2022_903889,ccsbBroad304_04152,ORF017533.1_TRC304.1,pLX_304,NM_024899.4,CEP76,79959,9606,centrosomal protein 76,100,1977,trt
JCP2022_903890,ccsbBroad304_04153,ORF014236.1_TRC304.1,pLX_304,NM_024900.5,JADE1,79960,9606,jade family PHD finger 1,100,1527,trt
JCP2022_903891,ccsbBroad304_04154,ORF011963.1_TRC304.1,pLX_304,NM_024901.5,DENND2D,79961,9606,DENN domain containing 2D,100,1413,trt
JCP2022_903892,ccsbBroad304_04155,ORF013545.1_TRC304.1,pLX_304,NM_024902.4,DNAJC22,79962,9606,DnaJ heat shock protein family (Hsp40) member C22,100,1023,trt
JCP2022_903893,ccsbBroad304_04156,ORF004905.1_TRC304.1,pLX_304,NM_001167941.2,WDR76,79968,9606,WD repeat domain 76,100,1686,trt
JCP2022_903894,ccsbBroad304_04157,ORF007958.1_TRC304.1,pLX_304,NM_024915.4,GRHL2,79977,9606,grainyhead like transcription factor 2,100,1875,trt
JCP2022_903895,ccsbBroad304_04158,ORF005698.1_TRC304.1,pLX_304,NM_001145316.1,DSN1,79980,9606,DSN1 component of MIS12 kinetochore complex,100,1068,trt
JCP2022_903896,ccsbBroad304_04159,ORF005126.1_TRC304.1,pLX_304,NM_001031723.4,DNAJB14,79982,9606,DnaJ heat shock protein family (Hsp40) member B14,100,1137,trt
JCP2022_903897,ccsbBroad304_04160,ORF009547.1_TRC304.1,pLX_304,NM_001104558.1,ELOVL7,79993,9606,ELOVL fatty acid elongase 7,100,843,trt
JCP2022_903898,ccsbBroad304_04161,ORF015199.1_TRC304.1,pLX_304,NM_001104558.1,ELOVL7,79993,9606,ELOVL fatty acid elongase 7,100,843,trt
JCP2022_903899,ccsbBroad304_04162,ORF000488.1_TRC304.1,pLX_304,NM_024933.4,ANKRD53,79998,9606,ankyrin repeat domain 53,100,1029,trt
JCP2022_903900,ccsbBroad304_04163,ORF002097.1_TRC304.1,pLX_304,NM_024942.4,C10orf88,80007,9606,chromosome 10 open reading frame 88,100,1335,trt
JCP2022_903901,ccsbBroad304_04164,ORF006434.1_TRC304.1,pLX_304,NM_001354088.2,PSME3IP1,80011,9606,proteasome activator subunit 3 interacting protein 1,100,762,trt
JCP2022_903902,ccsbBroad304_04165,ORF004737.1_TRC304.1,pLX_304,NM_024948.4,MINDY3,80013,9606,MINDY lysine 48 deubiquitinase 3,100,1335,trt
JCP2022_903903,ccsbBroad304_04166,ORF002574.1_TRC304.1,pLX_304,NM_024954.5,UBTD1,80019,9606,ubiquitin domain containing 1,100,681,trt
JCP2022_903904,ccsbBroad304_04167,ORF017090.1_TRC304.1,pLX_304,NM_001102371.2,FOXRED2,80020,9606,FAD dependent oxidoreductase domain containing 2,100,2052,trt
JCP2022_903905,ccsbBroad304_04168,ORF004687.1_TRC304.1,pLX_304,NM_001323685.2,NRSN2,80023,9606,neurensin 2,100,612,trt
JCP2022_903906,ccsbBroad304_04170,ORF012110.1_TRC304.1,pLX_304,NM_153640.3,PANK2,80025,9606,pantothenate kinase 2,100,837,trt
JCP2022_903907,ccsbBroad304_04171,ORF000025.1_TRC304.1,pLX_304,NM_001198999.2,SEMA6D,80031,9606,semaphorin 6D,100,3033,trt
JCP2022_903908,ccsbBroad304_04172,ORF011608.1_TRC304.1,pLX_304,NM_025029.5,MZT2B,80097,9606,mitotic spindle organizing protein 2B,100,474,trt
JCP2022_903909,ccsbBroad304_04173,ORF005123.1_TRC304.1,pLX_304,NR_161268.1,C7orf69,80099,9606,chromosome 7 open reading frame 69,,366,trt
JCP2022_903910,ccsbBroad304_04174,ORF006517.1_TRC304.1,pLX_304,NR_161373.1,C3orf36,80111,9606,chromosome 3 open reading frame 36,,495,trt
JCP2022_903911,ccsbBroad304_04175,ORF003943.1_TRC304.1,pLX_304,NM_025075.4,THOC7,80145,9606,THO complex 7,100,612,trt
JCP2022_903912,ccsbBroad304_04176,ORF006973.1_TRC304.1,pLX_304,NM_025076.4,UXS1,80146,9606,UDP-glucuronate decarboxylase 1,100,1260,trt
JCP2022_903913,ccsbBroad304_04177,ORF009978.1_TRC304.1,pLX_304,NM_025078.5,SLC66A2,80148,9606,solute carrier family 66 member 2,100,813,trt
JCP2022_903914,ccsbBroad304_04178,ORF008190.1_TRC304.1,pLX_304,NM_001142443.3,EDC3,80153,9606,enhancer of mRNA decapping 3,100,1524,trt
JCP2022_903915,ccsbBroad304_04179,ORF010200.1_TRC304.1,pLX_304,NM_057175.5,NAA15,80155,9606,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",100,2598,trt
JCP2022_903916,ccsbBroad304_04180,ORF010190.1_TRC304.1,pLX_304,NM_025098.4,MOGAT2,80168,9606,monoacylglycerol O-acyltransferase 2,100,1002,trt
JCP2022_903917,ccsbBroad304_04183,ORF011912.1_TRC304.1,pLX_304,NM_025107.2,MYCT1,80177,9606,MYC target 1,100,705,trt
JCP2022_903918,ccsbBroad304_04184,ORF010779.1_TRC304.1,pLX_304,NM_025115.5,TTI2,80185,9606,TELO2 interacting protein 2,100,1524,trt
JCP2022_903919,ccsbBroad304_04185,ORF010509.1_TRC304.1,pLX_304,NM_001078650.3,TMEM134,80194,9606,transmembrane protein 134,100,540,trt
JCP2022_903920,ccsbBroad304_04186,ORF005416.1_TRC304.1,pLX_304,NM_025125.4,TMEM254,80195,9606,transmembrane protein 254,100,369,trt
JCP2022_903921,ccsbBroad304_04187,ORF005265.1_TRC304.1,pLX_304,NM_025126.3,RNF34,80196,9606,ring finger protein 34,100,1116,trt
JCP2022_903922,ccsbBroad304_04188,ORF016702.1_TRC304.1,pLX_304,NM_025129.5,FUZ,80199,9606,fuzzy planar cell polarity protein,100,1254,trt
JCP2022_903923,ccsbBroad304_04189,ORF010468.1_TRC304.1,pLX_304,NM_025133.4,FBXO11,80204,9606,F-box protein 11,100,2529,trt
JCP2022_903924,ccsbBroad304_04190,ORF005524.1_TRC304.1,pLX_304,NM_001304959.2,CCDC92,80212,9606,coiled-coil domain containing 92,100,993,trt
JCP2022_903925,ccsbBroad304_04191,ORF016427.1_TRC304.1,pLX_304,NM_025146.4,NAA50,80218,9606,"N(alpha)-acetyltransferase 50, NatE catalytic subunit",100,507,trt
JCP2022_903926,ccsbBroad304_04192,ORF007446.1_TRC304.1,pLX_304,NM_025147.4,COQ10B,80219,9606,coenzyme Q10B,100,714,trt
JCP2022_903927,ccsbBroad304_04194,ORF007475.1_TRC304.1,pLX_304,NM_025165.3,ELL3,80237,9606,elongation factor for RNA polymerase II 3,100,1191,trt
JCP2022_903928,ccsbBroad304_04195,ORF000922.1_TRC304.1,pLX_304,NM_001353122.1,CEP63,80254,9606,centrosomal protein 63,100,1485,trt
JCP2022_903929,ccsbBroad304_04196,ORF002426.1_TRC304.1,pLX_304,NM_025182.4,FAM214B,80256,9606,family with sequence similarity 214 member B,100,1614,trt
JCP2022_903930,ccsbBroad304_04197,ORF012828.1_TRC304.1,pLX_304,NM_025184.4,EFHC2,80258,9606,EF-hand domain containing 2,100,2247,trt
JCP2022_903931,ccsbBroad304_04199,ORF010928.1_TRC304.1,pLX_304,NM_025196.4,GRPEL1,80273,9606,"GrpE like 1, mitochondrial",100,651,trt
JCP2022_903932,ccsbBroad304_04200,ORF006727.1_TRC304.1,pLX_304,NM_025198.4,MTERF2,80298,9606,mitochondrial transcription termination factor 2,100,1155,trt
JCP2022_903933,ccsbBroad304_04201,ORF011518.1_TRC304.1,pLX_304,NM_001142319.1,WDCP,80304,9606,WD repeat and coiled coil containing,100,1866,trt
JCP2022_903934,ccsbBroad304_04202,ORF002198.1_TRC304.1,pLX_304,NM_025205.5,MED28,80306,9606,mediator complex subunit 28,100,534,trt
JCP2022_903935,ccsbBroad304_04203,ORF015718.1_TRC304.1,pLX_304,NM_201398.3,FLAD1,80308,9606,flavin adenine dinucleotide synthetase 1,100,1470,trt
JCP2022_903936,ccsbBroad304_04204,ORF005546.1_TRC304.1,pLX_304,NM_033135.4,PDGFD,80310,9606,platelet derived growth factor D,100,1092,trt
JCP2022_903937,ccsbBroad304_04205,ORF014046.1_TRC304.1,pLX_304,NM_030624.3,KLHL15,80311,9606,kelch like family member 15,100,1812,trt
JCP2022_903938,ccsbBroad304_04206,ORF005986.1_TRC304.1,pLX_304,NM_025211.4,GKAP1,80318,9606,G kinase anchoring protein 1,100,1098,trt
JCP2022_903939,ccsbBroad304_04207,ORF006952.1_TRC304.1,pLX_304,NM_025212.4,CXXC4,80319,9606,CXXC finger protein 4,53.9,594,trt
JCP2022_903940,ccsbBroad304_04208,ORF016255.1_TRC304.1,pLX_304,NM_199262.3,SP6,80320,9606,Sp6 transcription factor,100,1128,trt
JCP2022_903941,ccsbBroad304_04209,ORF017504.1_TRC304.1,pLX_304,NM_172027.3,ABTB1,80325,9606,ankyrin repeat and BTB domain containing 1,100,1434,trt
JCP2022_903942,ccsbBroad304_04210,ORF016405.1_TRC304.1,pLX_304,NM_025218.4,ULBP1,80329,9606,UL16 binding protein 1,100,732,trt
JCP2022_903943,ccsbBroad304_04211,ORF014828.1_TRC304.1,pLX_304,NM_025219.3,DNAJC5,80331,9606,DnaJ heat shock protein family (Hsp40) member C5,100,594,trt
JCP2022_903944,ccsbBroad304_04212,ORF002678.1_TRC304.1,pLX_304,NM_025231.3,ZSCAN16,80345,9606,zinc finger and SCAN domain containing 16,100,1044,trt
JCP2022_903945,ccsbBroad304_04213,ORF011687.1_TRC304.1,pLX_304,NM_025232.4,REEP4,80346,9606,receptor accessory protein 4,100,771,trt
JCP2022_903946,ccsbBroad304_04214,ORF002895.1_TRC304.1,pLX_304,NM_001042529.3,COASY,80347,9606,Coenzyme A synthase,47.6,807,trt
JCP2022_903947,ccsbBroad304_04215,ORF013954.1_TRC304.1,pLX_304,NM_001171091.2,UBXN6,80700,9606,UBX domain protein 6,100,1164,trt
JCP2022_903948,ccsbBroad304_04216,ORF003233.1_TRC304.1,pLX_304,NM_025245.3,PBX4,80714,9606,PBX homeobox 4,100,1122,trt
JCP2022_903949,ccsbBroad304_04217,ORF001741.1_TRC304.1,pLX_304,NM_025250.3,TTYH3,80727,9606,tweety family member 3,100,1569,trt
JCP2022_903950,ccsbBroad304_04218,ORF011731.1_TRC304.1,pLX_304,NM_001331238.1,TMEM121,80757,9606,transmembrane protein 121,100,957,trt
JCP2022_903951,ccsbBroad304_04219,ORF006450.1_TRC304.1,pLX_304,NM_001174102.2,PRR7,80758,9606,"proline rich 7, synaptic",100,822,trt
JCP2022_903952,ccsbBroad304_04220,ORF013232.1_TRC304.1,pLX_304,NM_030570.3,UPK3B,105375355,9606,uroplakin 3B,100,960,trt
JCP2022_903953,ccsbBroad304_04222,ORF003703.1_TRC304.1,pLX_304,NM_181900.3,STARD5,80765,9606,StAR related lipid transfer domain containing 5,100,639,trt
JCP2022_903954,ccsbBroad304_04223,ORF009562.1_TRC304.1,pLX_304,NM_030576.4,LIMD2,80774,9606,LIM domain containing 2,100,381,trt
JCP2022_903955,ccsbBroad304_04224,ORF011704.1_TRC304.1,pLX_304,NM_030628.2,INTS5,80789,9606,integrator complex subunit 5,100,3057,trt
JCP2022_903956,ccsbBroad304_04226,ORF009295.1_TRC304.1,pLX_304,NM_030645.3,SH3BP5L,80851,9606,SH3 binding domain protein 5 like,100,1179,trt
JCP2022_903957,ccsbBroad304_04227,ORF011739.1_TRC304.1,pLX_304,NM_030648.3,SETD7,80854,9606,"SET domain containing 7, histone lysine methyltransferase",100,1098,trt
JCP2022_903958,ccsbBroad304_04228,ORF010641.1_TRC304.1,pLX_304,NM_030768.3,ILKAP,80895,9606,ILK associated serine/threonine phosphatase,100,1176,trt
JCP2022_903959,ccsbBroad304_04229,ORF015232.1_TRC304.1,pLX_304,NM_030777.4,SLC2A10,81031,9606,solute carrier family 2 member 10,100,1623,trt
JCP2022_903960,ccsbBroad304_04230,ORF001001.1_TRC304.1,pLX_304,NM_001005238.1,OR51G2,81282,9606,olfactory receptor family 51 subfamily G member 2,100,942,trt
JCP2022_903961,ccsbBroad304_04231,ORF001473.1_TRC304.1,pLX_304,NM_001005276.1,OR2AE1,81392,9606,olfactory receptor family 2 subfamily AE member 1,100,969,trt
JCP2022_903962,ccsbBroad304_04232,ORF008139.1_TRC304.1,pLX_304,NM_015532.5,POLR2M,81488,9606,RNA polymerase II subunit M,100,1104,trt
JCP2022_903963,ccsbBroad304_04233,ORF002333.1_TRC304.1,pLX_304,NM_030787.4,CFHR5,81494,9606,complement factor H related 5,100,1707,trt
JCP2022_903964,ccsbBroad304_04234,ORF009699.1_TRC304.1,pLX_304,NM_030789.3,HM13,81502,9606,histocompatibility minor 13,100,1131,trt
JCP2022_903965,ccsbBroad304_04235,ORF001180.1_TRC304.1,pLX_304,NM_030794.2,TDRD3,81550,9606,tudor domain containing 3,100,1953,trt
JCP2022_903966,ccsbBroad304_04236,ORF015257.1_TRC304.1,pLX_304,NM_030795.4,STMN4,81551,9606,stathmin 4,100,648,trt
JCP2022_903967,ccsbBroad304_04237,ORF012492.1_TRC304.1,pLX_304,NM_030805.3,LMAN2L,81562,9606,"lectin, mannose binding 2 like",100,1044,trt
JCP2022_903968,ccsbBroad304_04238,ORF005355.1_TRC304.1,pLX_304,NM_030806.4,C1orf21,81563,9606,chromosome 1 open reading frame 21,100,363,trt
JCP2022_903969,ccsbBroad304_04239,ORF000059.1_TRC304.1,pLX_304,NM_030809.3,CSRNP2,81566,9606,cysteine and serine rich nuclear protein 2,100,1629,trt
JCP2022_903970,ccsbBroad304_04240,ORF016863.1_TRC304.1,pLX_304,NM_030813.6,CLPB,81570,9606,"ClpB homolog, mitochondrial AAA ATPase chaperonin",100,2121,trt
JCP2022_903971,ccsbBroad304_04241,ORF012342.1_TRC304.1,pLX_304,NM_030815.3,PDRG1,81572,9606,p53 and DNA damage regulated 1,100,399,trt
JCP2022_903972,ccsbBroad304_04242,ORF008376.1_TRC304.1,pLX_304,NM_030818.4,CCDC130,81576,9606,coiled-coil domain containing 130,100,1188,trt
JCP2022_903973,ccsbBroad304_04243,ORF008662.1_TRC304.1,pLX_304,NM_030821.5,PLA2G12A,81579,9606,phospholipase A2 group XIIA,100,567,trt
JCP2022_903974,ccsbBroad304_04244,ORF007985.1_TRC304.1,pLX_304,NM_030914.4,URM1,81605,9606,ubiquitin related modifier 1,100,303,trt
